epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.4571,1.73868,3.323,2.00457,0.16128,0.30278,0.03643,0.02156,2.2425,inf,3.82231,0.070219,0.003309,0.003309
2,72.2928,1.73841,2.95778,2.00577,0.10672,0.39359,0.18078,0.1045,1.69589,4.50844,2.04104,0.0401313,0.00655466,0.00655466
3,107.259,1.65291,2.76139,1.92687,0.32356,0.30072,0.22515,0.1431,1.58137,2.95859,2.06403,0.00995562,0.00971231,0.00971231
4,143.172,1.59803,2.6072,1.88305,0.3817,0.45877,0.4114,0.27928,1.30444,2.12902,1.65237,0.009604,0.009604,0.009604
5,177.978,1.54876,2.54337,1.84699,0.32156,0.34706,0.33239,0.22149,1.29287,2.64833,1.66524,0.009472,0.009472,0.009472
6,212.384,1.47415,2.3758,1.75918,0.40981,0.49424,0.42762,0.27854,1.28471,2.04,1.65916,0.00934,0.00934,0.00934
7,248.078,1.4507,2.33814,1.74665,0.33757,0.38913,0.31662,0.2219,1.23064,2.24694,1.61205,0.009208,0.009208,0.009208
8,282.509,1.41439,2.24705,1.70889,0.37009,0.53566,0.45611,0.31829,1.18074,1.8523,1.56937,0.009076,0.009076,0.009076
9,318.527,1.41068,2.24387,1.71635,0.47695,0.54014,0.50324,0.35279,1.10731,1.78197,1.48957,0.008944,0.008944,0.008944
10,354.176,1.37293,2.15109,1.68248,0.36666,0.58703,0.49192,0.35268,1.04199,1.62408,1.41777,0.008812,0.008812,0.008812
11,389.166,1.35235,2.11921,1.65861,0.43211,0.57486,0.54255,0.39531,1.06077,1.58854,1.42854,0.00868,0.00868,0.00868
12,424.566,1.31307,2.0595,1.61996,0.52095,0.58529,0.55536,0.41156,1.06233,1.53345,1.43095,0.008548,0.008548,0.008548
13,451.401,1.31701,2.03352,1.64368,0.5171,0.4888,0.54013,0.38981,1.01857,1.67542,1.38758,0.008416,0.008416,0.008416
14,468.067,1.2746,1.95573,1.58874,0.51846,0.62602,0.59517,0.44492,0.94725,1.41239,1.31761,0.008284,0.008284,0.008284
15,485.347,1.26826,1.9651,1.59374,0.54626,0.57714,0.58892,0.44511,0.95836,1.47499,1.3476,0.008152,0.008152,0.008152
16,501.621,1.25542,1.94477,1.58491,0.39201,0.57876,0.52518,0.38093,0.98796,1.63043,1.35566,0.00802,0.00802,0.00802
17,518.187,1.22179,1.85162,1.54568,0.56201,0.56519,0.5876,0.42981,0.96399,1.43451,1.33666,0.007888,0.007888,0.007888
18,534.696,1.23688,1.90463,1.56674,0.4471,0.60055,0.5442,0.39961,0.92336,1.58577,1.30334,0.007756,0.007756,0.007756
19,551.406,1.21638,1.81683,1.54029,0.58833,0.62403,0.64505,0.4993,0.92082,1.37484,1.31432,0.007624,0.007624,0.007624
20,568.833,1.20504,1.78152,1.52946,0.6265,0.63056,0.67335,0.5096,0.88217,1.28473,1.25611,0.007492,0.007492,0.007492
21,586.127,1.195,1.75516,1.52773,0.62619,0.62271,0.67355,0.51634,0.88108,1.29209,1.25952,0.00736,0.00736,0.00736
22,603.638,1.1678,1.74309,1.50612,0.72261,0.60575,0.678,0.5174,0.90946,1.38213,1.29176,0.007228,0.007228,0.007228
23,620.768,1.16072,1.68569,1.49558,0.64508,0.65759,0.69747,0.54844,0.83396,1.26563,1.22416,0.007096,0.007096,0.007096
24,638.1,1.15722,1.68928,1.50438,0.66239,0.73425,0.72542,0.56974,0.83516,1.12048,1.23581,0.006964,0.006964,0.006964
25,655.39,1.15279,1.69156,1.49827,0.70651,0.67099,0.71475,0.55074,0.83955,1.18608,1.21319,0.006832,0.006832,0.006832
26,671.685,1.12705,1.63784,1.46843,0.62073,0.67179,0.69947,0.54924,0.84579,1.24353,1.2208,0.0067,0.0067,0.0067
27,688.727,1.12574,1.58962,1.46436,0.70406,0.6969,0.75925,0.58774,0.84825,1.10945,1.234,0.006568,0.006568,0.006568
28,706.154,1.13105,1.58423,1.4706,0.65538,0.74005,0.7136,0.55917,0.82818,1.19659,1.21258,0.006436,0.006436,0.006436
29,722.665,1.09468,1.5451,1.448,0.67355,0.75985,0.75629,0.59461,0.8086,1.0545,1.19885,0.006304,0.006304,0.006304
30,739.982,1.09125,1.51739,1.44615,0.69039,0.69743,0.73092,0.57273,0.82682,1.09597,1.21875,0.006172,0.006172,0.006172
