epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8079,1.72339,3.30391,2.01765,0.07469,0.1271,0.01944,0.01145,2.12334,16.7177,2.8546,0.0702158,0.00330935,0.00330935
2,34.2273,1.72978,3.02163,2.03465,0.16767,0.16673,0.05999,0.0327,2.02752,5.00013,2.60315,0.0401281,0.006555,0.006555
3,51.1005,1.65922,2.83323,1.94717,0.40259,0.16814,0.15352,0.09805,1.52768,3.5757,1.99694,0.00995246,0.00971265,0.00971265
4,67.7906,1.58743,2.66148,1.87339,0.46184,0.23088,0.17809,0.11747,1.35188,2.79917,1.82914,0.009604,0.009604,0.009604
5,84.6934,1.53256,2.55394,1.84128,0.53146,0.1978,0.17517,0.11324,1.53491,3.09904,1.96142,0.009472,0.009472,0.009472
6,101.018,1.4749,2.47967,1.78785,0.33765,0.29423,0.20331,0.13523,1.2898,2.69611,1.65574,0.00934,0.00934,0.00934
7,117.562,1.41036,2.31481,1.72301,0.5029,0.29647,0.2745,0.19038,1.256,2.13952,1.63871,0.009208,0.009208,0.009208
8,134.349,1.39299,2.27606,1.70252,0.62727,0.29638,0.25081,0.17332,1.21376,2.0437,1.60503,0.009076,0.009076,0.009076
9,150.586,1.39066,2.28857,1.71399,0.53909,0.28476,0.24777,0.17408,1.20351,2.16481,1.59455,0.008944,0.008944,0.008944
10,166.782,1.34239,2.18231,1.65932,0.68733,0.33189,0.31565,0.22138,1.11474,1.88998,1.51107,0.008812,0.008812,0.008812
11,183.461,1.34108,2.15473,1.659,0.65912,0.29041,0.28884,0.21196,1.11425,1.91109,1.53121,0.00868,0.00868,0.00868
12,199.647,1.31241,2.12518,1.6445,0.60337,0.34256,0.28661,0.21239,1.12773,1.98107,1.56284,0.008548,0.008548,0.008548
